annee,code_departement,[president_sortant]tour,[president_sortant]famille_politique,[president_sortant]pourcentage
2007,38,t2,droite,52.86
2007,38,t2,gauche,47.14
2007,39,t1,centre,20.51
2007,39,t1,droite,46.93
2007,39,t1,gauche,32.56
2007,39,t2,droite,55.18
2007,39,t2,gauche,44.82
2007,40,t1,centre,20.18
2007,40,t1,droite,38.46
2007,40,t1,gauche,41.36
2007,40,t2,droite,47.15
2007,40,t2,gauche,52.85
2007,41,t1,centre,20.31
2007,41,t1,droite,50.69
2007,41,t1,gauche,29.0
2007,41,t2,droite,57.12
2007,41,t2,gauche,42.88
2007,42,t1,centre,19.9
2007,42,t1,droite,47.5
2007,42,t1,gauche,32.59
2007,42,t2,droite,55.23
2007,42,t2,gauche,44.77
2007,43,t1,centre,22.61
2007,43,t1,droite,46.99
2007,43,t1,gauche,30.4
2007,43,t2,droite,54.91
2007,43,t2,gauche,45.09
2007,44,t1,centre,18.75
2007,44,t1,droite,42.58
2007,44,t1,gauche,38.67
2007,44,t2,droite,48.5
2007,44,t2,gauche,51.5
2007,45,t1,centre,16.61
2007,45,t1,droite,54.75
2007,45,t1,gauche,28.65
2007,45,t2,droite,59.31
2007,45,t2,gauche,40.69
2007,46,t1,centre,20.55
2007,46,t1,droite,35.22
2007,46,t1,gauche,44.24
2007,46,t2,droite,42.19
2007,46,t2,gauche,57.81
2007,47,t1,centre,18.43
2007,47,t1,droite,48.23
2007,47,t1,gauche,33.34
2007,47,t2,droite,54.99
2007,47,t2,gauche,45.01
2007,48,t1,centre,21.63
2007,48,t1,droite,45.51
2007,48,t1,gauche,32.86
2007,48,t2,droite,56.6
2007,48,t2,gauche,43.4
2007,49,t1,centre,24.95
2007,49,t1,droite,45.0
2007,49,t1,gauche,30.04
2007,49,t2,droite,54.34
2007,49,t2,gauche,45.66
2007,50,t1,centre,21.89
2007,50,t1,droite,48.92
2007,50,t1,gauche,29.19
2007,50,t2,droite,55.4
2007,50,t2,gauche,44.6
2007,51,t1,centre,17.84
2007,51,t1,droite,53.74
2007,51,t1,gauche,28.42
2007,51,t2,droite,59.8
2007,51,t2,gauche,40.2
2007,52,t1,centre,15.39
2007,52,t1,droite,56.09
2007,52,t1,gauche,28.52
2007,52,t2,droite,58.74
2007,52,t2,gauche,41.26
2007,53,t1,centre,27.1
2007,53,t1,droite,42.03
2007,53,t1,gauche,30.87
2007,53,t2,droite,53.92
2007,53,t2,gauche,46.08
2007,54,t1,centre,18.92
2007,54,t1,droite,44.66
2007,54,t1,gauche,36.41
2007,54,t2,droite,50.17
2007,54,t2,gauche,49.83
2007,55,t1,centre,18.66
2007,55,t1,droite,50.29
2007,55,t1,gauche,31.05
2007,55,t2,droite,56.88
2007,55,t2,gauche,43.12
2007,56,t1,centre,21.64
2007,56,t1,droite,46.56
2007,56,t1,gauche,31.79
2007,56,t2,droite,53.65
2007,56,t2,gauche,46.35
2007,57,t1,centre,17.92
2007,57,t1,droite,51.8
2007,57,t1,gauche,30.28
2007,57,t2,droite,58.27
2007,57,t2,gauche,41.73
2007,58,t1,centre,15.3
2007,58,t1,droite,40.61
2007,58,t1,gauche,44.09
2007,58,t2,droite,45.56
2007,58,t2,gauche,54.44
2007,59,t1,centre,12.98
2007,59,t1,droite,52.96
2007,59,t1,gauche,34.06
2007,59,t2,droite,54.09
2007,59,t2,gauche,45.91
2007,60,t1,centre,14.85
2007,60,t1,droite,55.59
2007,60,t1,gauche,29.56
2007,60,t2,droite,61.3
2007,60,t2,gauche,38.7
2007,61,t1,centre,20.13
2007,61,t1,droite,49.78
2007,61,t1,gauche,30.09
2007,61,t2,droite,58.25
2007,61,t2,gauche,41.75
2007,62,t1,centre,11.59
2007,62,t1,droite,49.29
2007,62,t1,gauche,39.13
2007,62,t2,droite,46.34
2007,62,t2,gauche,53.66
2007,63,t1,centre,20.21
2007,63,t1,droite,38.38
2007,63,t1,gauche,41.4
2007,63,t2,droite,43.83
2007,63,t2,gauche,56.17
2007,64,t1,centre,31.34
2007,64,t1,droite,35.79
2007,64,t1,gauche,32.87
2007,64,t2,droite,47.53
2007,64,t2,gauche,52.47
2007,65,t1,centre,24.83
2007,65,t1,droite,32.56
2007,65,t1,gauche,42.61
2007,65,t2,droite,40.71
2007,65,t2,gauche,59.29
2007,66,t1,centre,12.68
2007,66,t1,droite,54.19
2007,66,t1,gauche,33.13
2007,66,t2,droite,57.76
2007,66,t2,gauche,42.24
2007,67,t1,centre,21.17
2007,67,t1,droite,58.21
2007,67,t1,gauche,20.62
2007,67,t2,droite,68.93
2007,67,t2,gauche,31.07
2007,68,t1,centre,19.5
2007,68,t1,droite,59.36
2007,68,t1,gauche,21.14
2007,68,t2,droite,69.56
2007,68,t2,gauche,30.44
2007,69,t1,centre,16.99
2007,69,t1,droite,51.06
2007,69,t1,gauche,31.95
2007,69,t2,droite,57.14
2007,69,t2,gauche,42.86
2007,70,t1,centre,13.27
2007,70,t1,droite,53.6
2007,70,t1,gauche,33.13
2007,70,t2,droite,55.61
2007,70,t2,gauche,44.39
2007,71,t1,centre,17.05
2007,71,t1,droite,48.95
2007,71,t1,gauche,34.0
2007,71,t2,droite,52.46
2007,71,t2,gauche,47.54
2007,72,t1,centre,17.61
2007,72,t1,droite,45.43
2007,72,t1,gauche,36.97
2007,72,t2,droite,49.17
2007,72,t2,gauche,50.83
2007,73,t1,centre,20.45
2007,73,t1,droite,51.95
2007,73,t1,gauche,27.59
